id,q1_1,q1_2,q1_3,q2_1,q2_2,q2_3,q2_4,q2_5,q2_6,q3_1,q3_2,q3_3,q3_4,q3_5,q3_6,q3_7,q4_1,q4_2,q4_3,q4_4,q4_5,q4_6,q5a,q6,age,gender,role,bransch,duration_in_seconds
243,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer inte alls,Stämmer ganska väl,Stämmer inte alls,Stämmer inte alls,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer helt,Stämmer helt,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer helt,Stämmer helt,Stämmer ganska dåligt,"Ja, i ganska stor utsträckning",Nej,46-55,Man,Medarbetare,Tillverkning,226
244,Stämmer helt,Stämmer inte alls,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer ganska väl,Stämmer helt,Stämmer helt,Stämmer ganska väl,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer inte alls,Stämmer helt,Stämmer helt,"Nej, inte alls",Nej,46-55,Vill ej ange,Medarbetare,Annan verksamhet,613
245,Stämmer ganska väl,Stämmer helt,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer helt,Stämmer ganska väl,Stämmer helt,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer ganska väl,"Ja, i mycket stor utsträckning",Nej,46-55,Man,Medarbetare,Tillverkning,417
246,Stämmer helt,Stämmer ganska väl,Stämmer helt,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer helt,Stämmer ganska väl,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer ganska väl,Stämmer ganska väl,Stämmer helt,Stämmer helt,Stämmer ganska väl,Stämmer helt,Stämmer helt,Stämmer helt,"Ja, i ganska stor utsträckning",Nej,30-45,Man,Medarbetare,Tillverkning,221
247,Stämmer helt,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer inte alls,Stämmer helt,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer inte alls,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer helt,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer helt,Stämmer ganska väl,"Ja, i mycket stor utsträckning",Nej,46-55,Kvinna,Arbetsledande med personal ansvar,Tillverkning,228
248,Stämmer helt,Stämmer helt,Stämmer helt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30-45,Man,Arbetsledande utan personalansvar,Tillverkning,91
249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46-55,Kvinna,Medarbetare,Annan verksamhet,35
250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46-55,Kvinna,Medarbetare,Annan verksamhet,43
251,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer inte alls,Stämmer ganska väl,Stämmer inte alls,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer helt,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer helt,Stämmer ganska väl,"Ja, i ganska stor utsträckning","Ja, fyra gånger eller fler",30-45,Man,Medarbetare,Tillverkning,207
252,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer helt,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska dåligt,"Ja, i ganska stor utsträckning",Nej,46-55,Kvinna,Medarbetare,Annan verksamhet,214
253,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer helt,Stämmer helt,Stämmer ganska väl,Stämmer helt,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer helt,Stämmer helt,"Ja, i ganska stor utsträckning",Nej,56+,Man,Medarbetare,Tillverkning,374
254,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer inte alls,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer inte alls,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer ganska dåligt,NA,NA,NA,NA,NA,NA,NA,NA,46-55,Kvinna,Medarbetare,Vård/omsorg,164
255,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer ganska väl,Stämmer inte alls,Stämmer inte alls,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer helt,Stämmer ganska väl,Stämmer helt,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska väl,"Ja, i ganska stor utsträckning","Ja, en gång",30-45,Kvinna,Medarbetare,Bygg,298
256,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,"Ja, i mycket stor utsträckning",Nej,46-55,Kvinna,Arbetsledande utan personalansvar,Tillverkning,134
257,Stämmer ganska väl,Stämmer helt,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer ganska väl,Stämmer inte alls,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer inte alls,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer helt,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer helt,"Ja, i ganska stor utsträckning",Nej,30-45,Man,Medarbetare,"Jordbruk, skogsbruk",420
258,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer ganska väl,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer ganska väl,Stämmer helt,Stämmer ganska väl,Stämmer helt,Stämmer ganska väl,Stämmer ganska väl,Stämmer helt,Stämmer helt,Stämmer inte alls,Stämmer helt,Stämmer ganska väl,"Ja, i mycket stor utsträckning",Nej,30-45,Man,Arbetsledande utan personalansvar,Tillverkning,182
259,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer helt,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer ganska väl,Stämmer helt,Stämmer helt,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska väl,"Ja, i ganska stor utsträckning",Nej,56+,Man,Medarbetare,Annan verksamhet,368
260,Stämmer inte alls,Stämmer ganska dåligt,Stämmer inte alls,Stämmer inte alls,Stämmer inte alls,Stämmer inte alls,Stämmer inte alls,Stämmer inte alls,Stämmer inte alls,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer inte alls,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska dåligt,"Ja, i mycket stor utsträckning","Ja, fyra gånger eller fler",30-45,Kvinna,Medarbetare,Tillverkning,584
261,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer ganska väl,NA,NA,30-45,Kvinna,Medarbetare,Handel,977
262,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer ganska väl,Stämmer helt,Stämmer helt,Stämmer ganska väl,Stämmer ganska väl,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,"Ja, i mycket stor utsträckning",Nej,56+,Kvinna,Medarbetare,Annan verksamhet,560
263,Stämmer ganska väl,Stämmer inte alls,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer inte alls,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer inte alls,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer helt,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska dåligt,"Ja, i mycket stor utsträckning",Nej,56+,Kvinna,Medarbetare,Vård/omsorg,208
264,Stämmer inte alls,Stämmer ganska dåligt,Stämmer inte alls,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer inte alls,Stämmer inte alls,Stämmer inte alls,Stämmer inte alls,Stämmer inte alls,Stämmer inte alls,Stämmer inte alls,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer inte alls,Stämmer inte alls,Stämmer inte alls,Stämmer inte alls,Stämmer inte alls,Stämmer helt,Stämmer inte alls,Stämmer ganska dåligt,"Ja, i ganska stor utsträckning",Nej,46-55,Man,Medarbetare,Tillverkning,257
265,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer inte alls,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer helt,Stämmer ganska väl,Stämmer helt,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer helt,Stämmer ganska dåligt,"Ja, i ganska stor utsträckning","Ja, två gånger",30-45,Man,Medarbetare,Tillverkning,191
266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20469
267,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer ganska väl,Stämmer helt,Stämmer helt,Stämmer ganska väl,Stämmer helt,Stämmer ganska väl,Stämmer helt,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer helt,Stämmer ganska väl,Stämmer ganska väl,"Ja, i ganska stor utsträckning",Nej,46-55,Man,Arbetsledande med personal ansvar,Tillverkning,213
268,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23263
269,Stämmer inte alls,Stämmer inte alls,Stämmer ganska dåligt,Stämmer helt,Stämmer ganska väl,Stämmer inte alls,Stämmer inte alls,Stämmer inte alls,Stämmer inte alls,Stämmer inte alls,Stämmer inte alls,Stämmer ganska dåligt,Stämmer helt,Stämmer inte alls,Stämmer inte alls,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer inte alls,Stämmer inte alls,Stämmer ganska väl,Stämmer inte alls,Stämmer inte alls,"Ja, i ganska stor utsträckning","Ja, en gång",46-55,Kvinna,Medarbetare,Annan verksamhet,372
270,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer helt,Stämmer helt,Stämmer ganska väl,"Ja, i ganska stor utsträckning",Nej,56+,Kvinna,Medarbetare,Vård/omsorg,176
271,Stämmer helt,Stämmer helt,Stämmer ganska väl,Stämmer helt,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer ganska väl,Stämmer helt,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer helt,Stämmer helt,Stämmer ganska väl,Stämmer helt,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer ganska väl,"Ja, i ganska stor utsträckning","Ja, en gång",56+,Man,Medarbetare,Tillverkning,232
272,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer helt,Stämmer ganska väl,Stämmer inte alls,Stämmer ganska dåligt,Stämmer inte alls,Stämmer inte alls,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer inte alls,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer inte alls,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska dåligt,"Nej, en del viktiga saker saknas",Nej,30-45,Kvinna,Medarbetare,Annan verksamhet,206
273,Stämmer helt,Stämmer helt,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer ganska väl,Stämmer helt,Stämmer ganska väl,Stämmer helt,Stämmer ganska väl,Stämmer helt,Stämmer ganska väl,Stämmer helt,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer ganska väl,"Ja, i ganska stor utsträckning",Nej,46-55,Kvinna,Medarbetare,Tillverkning,977
274,Stämmer helt,Stämmer ganska väl,Stämmer helt,Stämmer ganska väl,Stämmer inte alls,Stämmer inte alls,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer helt,Stämmer ganska väl,Stämmer helt,Stämmer helt,Stämmer ganska väl,Stämmer helt,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer helt,Stämmer helt,"Ja, i ganska stor utsträckning",Nej,56+,Kvinna,Medarbetare,Annan verksamhet,338
275,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19-29,Kvinna,Arbetsledande utan personalansvar,Annan verksamhet,60
276,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25
277,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30-45,Kvinna,Arbetsledande med personal ansvar,Annan verksamhet,70
278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19-29,Man,Arbetsledande utan personalansvar,Annan verksamhet,21
279,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer helt,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer ganska väl,"Ja, i ganska stor utsträckning","Ja, en gång",56+,Man,Medarbetare,Tillverkning,300
280,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer inte alls,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer helt,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer ganska väl,"Ja, i ganska stor utsträckning",Nej,46-55,Kvinna,Medarbetare,Tillverkning,340
281,Stämmer ganska väl,Stämmer ganska väl,Stämmer helt,Stämmer ganska väl,Stämmer inte alls,Stämmer ganska väl,Stämmer ganska väl,Stämmer helt,Stämmer ganska väl,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46-55,Kvinna,Arbetsledande med personal ansvar,Handel,146
282,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer helt,Stämmer inte alls,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer helt,Stämmer ganska väl,Stämmer helt,Stämmer helt,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer ganska väl,Stämmer helt,Stämmer ganska väl,Stämmer helt,"Ja, i mycket stor utsträckning","Ja, två gånger",19-29,Man,Medarbetare,Tillverkning,174
283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56+,Kvinna,Arbetsledande med personal ansvar,Annan verksamhet,39
284,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer helt,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska väl,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30-45,Kvinna,Arbetsledande utan personalansvar,Bygg,166
285,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer helt,Stämmer ganska dåligt,Stämmer inte alls,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer helt,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer inte alls,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska dåligt,"Ja, i ganska stor utsträckning",Nej,19-29,Man,Medarbetare,Bygg,166
286,Stämmer helt,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer ganska väl,Stämmer inte alls,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer helt,Stämmer ganska väl,Stämmer ganska väl,Stämmer helt,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer helt,Stämmer ganska väl,"Ja, i ganska stor utsträckning","Ja, två gånger",30-45,Man,Arbetsledande utan personalansvar,Tillverkning,279
287,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,NA,NA,46-55,Kvinna,Medarbetare,Energiförsörjning,172
288,Stämmer helt,Stämmer helt,Stämmer helt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46-55,Kvinna,Arbetsledande utan personalansvar,Tillverkning,64
289,Stämmer ganska väl,Stämmer ganska väl,Stämmer helt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30-45,Kvinna,Medarbetare,Annan verksamhet,61
290,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer helt,Stämmer ganska dåligt,Stämmer ganska dåligt,"Nej, en del viktiga saker saknas",Nej,30-45,Kvinna,Medarbetare,Tillverkning,163
291,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer helt,Stämmer helt,Stämmer ganska väl,"Ja, i ganska stor utsträckning","Ja, två gånger",46-55,Kvinna,Medarbetare,Tillverkning,341
292,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer helt,Stämmer ganska väl,Stämmer helt,Stämmer helt,Stämmer helt,"Ja, i ganska stor utsträckning",Nej,30-45,Kvinna,Medarbetare,Annan verksamhet,223
293,Stämmer ganska väl,Stämmer ganska väl,Stämmer helt,Stämmer ganska väl,Stämmer inte alls,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer helt,Stämmer inte alls,Stämmer ganska väl,Stämmer ganska väl,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer helt,Stämmer ganska väl,"Ja, i ganska stor utsträckning",Nej,46-55,Kvinna,Medarbetare,Annan verksamhet,1006
294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56+,Kvinna,Arbetsledande utan personalansvar,Annan verksamhet,42
295,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer inte alls,Stämmer helt,Stämmer ganska väl,"Ja, i ganska stor utsträckning",Nej,56+,Man,Medarbetare,Annan verksamhet,223
296,Stämmer ganska väl,Stämmer ganska dåligt,Stämmer ganska väl,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56+,Man,Arbetsledande utan personalansvar,Annan verksamhet,236
297,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer helt,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer inte alls,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer inte alls,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer inte alls,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer ganska väl,Stämmer helt,Stämmer ganska dåligt,Stämmer ganska dåligt,NA,NA,30-45,Kvinna,Arbetsledande med personal ansvar,Vård/omsorg,144
298,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
299,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer inte alls,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer ganska väl,Stämmer helt,Stämmer helt,Stämmer helt,Stämmer ganska väl,Stämmer helt,Stämmer ganska väl,Stämmer helt,Stämmer ganska väl,Stämmer inte alls,Stämmer helt,Stämmer helt,"Ja, i ganska stor utsträckning","Ja, en gång",56+,Man,Arbetsledande utan personalansvar,Tillverkning,357
300,Stämmer inte alls,Stämmer inte alls,Stämmer inte alls,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer inte alls,Stämmer inte alls,Stämmer ganska dåligt,Stämmer inte alls,Stämmer ganska väl,Stämmer ganska väl,Stämmer ganska väl,Stämmer helt,Stämmer ganska väl,Stämmer helt,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer ganska dåligt,Stämmer ganska väl,Stämmer ganska väl,Stämmer inte alls,Stämmer ganska dåligt,"Ja, i mycket stor utsträckning",Nej,30-45,Kvinna,Medarbetare,Tillverkning,272
